run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
General-1-20201009-16:28:26-15040,statistic,FairNetwork.user[0],userThroughputTotalStat:stats,,,,1,,3773.9473684211,0,3773.9473684211,3773.9473684211
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[0],userThroughputTotalStat:stats,,,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[0],userThroughputTotalStat:stats,source,userThroughputTotal,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[0],userThroughputTotalStat:stats,title,"User throughput, stats",,,,,,,
General-1-20201009-16:28:26-15040,statistic,FairNetwork.user[0],userThroughputStat:stats,,,,190001,,3773.9275056447,19479.48087524,0,288000
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[0],userThroughputStat:stats,,,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[0],userThroughputStat:stats,source,userThroughput,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[0],userThroughputStat:stats,title,"User throughput, stats",,,,,,,
General-1-20201009-16:28:26-15040,statistic,FairNetwork.user[0],packetDelayStat:stats,,,,9468,,0.00025016967869444,0.00014488200760928,4.1367e-008,0.000499947679
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[0],packetDelayStat:stats,,,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[0],packetDelayStat:stats,source,packetDelay,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[0],packetDelayStat:stats,title,"Packet delay, stats",,,,,,,
General-1-20201009-16:28:26-15040,statistic,FairNetwork.user[1],userThroughputTotalStat:stats,,,,1,,3756.2631578947,0,3756.2631578947,3756.2631578947
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[1],userThroughputTotalStat:stats,,,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[1],userThroughputTotalStat:stats,source,userThroughputTotal,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[1],userThroughputTotalStat:stats,title,"User throughput, stats",,,,,,,
General-1-20201009-16:28:26-15040,statistic,FairNetwork.user[1],userThroughputStat:stats,,,,190001,,3756.2433881927,19396.510084397,0,376000
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[1],userThroughputStat:stats,,,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[1],userThroughputStat:stats,source,userThroughput,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[1],userThroughputStat:stats,title,"User throughput, stats",,,,,,,
General-1-20201009-16:28:26-15040,statistic,FairNetwork.user[1],packetDelayStat:stats,,,,9481,,0.00025120403997532,0.00014422496763199,2.7948e-008,0.000499937499
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[1],packetDelayStat:stats,,,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[1],packetDelayStat:stats,source,packetDelay,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[1],packetDelayStat:stats,title,"Packet delay, stats",,,,,,,
General-1-20201009-16:28:26-15040,statistic,FairNetwork.user[2],userThroughputTotalStat:stats,,,,1,,3879.2105263158,0,3879.2105263158,3879.2105263158
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[2],userThroughputTotalStat:stats,,,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[2],userThroughputTotalStat:stats,source,userThroughputTotal,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[2],userThroughputTotalStat:stats,title,"User throughput, stats",,,,,,,
General-1-20201009-16:28:26-15040,statistic,FairNetwork.user[2],userThroughputStat:stats,,,,190001,,3879.1901095257,19810.114233547,0,292000
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[2],userThroughputStat:stats,,,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[2],userThroughputStat:stats,source,userThroughput,,,,,,,
General-1-20201009-16:28:26-15040,attr,FairNetwork.user[2],userThroughputStat:stats,title,"User throughput, stats",,,,,,,
General-1-20201009-16:28:26-15040,statistic,FairNetwork.user[2],packetDelayStat:stats,,,,9626,,0.00024915356022086,0.00014477093404487,5.239e-009,0.00049999951
