run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,vectime,vecvalue
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[6],userThroughputStat:stats,title,"User throughput, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[6],packetBytesStat:stats,,,,1950,,38.496923076923,21.895730816367,1,75,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[6],packetBytesStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[6],packetBytesStat:stats,source,packetBytes,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[6],packetBytesStat:stats,title,"Packet bytes, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[6],packetDelayStat:stats,,,,1950,,20.835619277014,14.870115544886,0.001496329541,61.290254353063,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[6],packetDelayStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[6],packetDelayStat:stats,source,packetDelay,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[6],packetDelayStat:stats,title,"Packet delay, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[7],userThroughputStat:stats,,,,1111,,37.459745974598,151.18574997956,0,1158.8888888889,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[7],userThroughputStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[7],userThroughputStat:stats,source,userThroughput,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[7],userThroughputStat:stats,title,"User throughput, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[7],packetBytesStat:stats,,,,1949,,38.436121087737,21.322271678832,1,75,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[7],packetBytesStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[7],packetBytesStat:stats,source,packetBytes,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[7],packetBytesStat:stats,title,"Packet bytes, stats",,,,,,,,,
